rule	AlignRec text	AnchorRec text	text diff	AlignRec vision	AnchorRec vision	vision diff
metric=top3 text sim/top1 vision sim; rows=bottom_n:500; agg=mean; selected separately per model/modality	0.122955	0.241444	0.118490	0.134713	0.144781	0.010068
metric=text mean/vision mean; rows=bottom_n:200; agg=mean; selected separately per model/modality	0.153198	0.254381	0.101183	0.145003	0.154608	0.009604
metric=top1 text sim/top1 vision sim; rows=q0.0-q0.1; agg=mean; selected separately per model/modality	0.163651	0.321092	0.157441	0.149123	0.157937	0.008814
metric=top2 text sim/top1 vision sim; rows=q0.0-q0.1; agg=mean; selected separately per model/modality	0.141003	0.285215	0.144212	0.149123	0.157937	0.008814
metric=top3 text sim/top1 vision sim; rows=q0.0-q0.1; agg=mean; selected separately per model/modality	0.139338	0.271705	0.132367	0.149123	0.157937	0.008814
metric=top3 text sim/top1 vision sim; rows=bottom_n:200; agg=mean; selected separately per model/modality	0.083752	0.183044	0.099292	0.106742	0.115242	0.008500
metric=top2 text sim/top1 vision sim; rows=bottom_n:200; agg=mean; selected separately per model/modality	0.082174	0.180998	0.098824	0.106742	0.115242	0.008500
metric=top1 text sim/top1 vision sim; rows=bottom_n:200; agg=mean; selected separately per model/modality	0.108334	0.198398	0.090064	0.106742	0.115242	0.008500
metric=top3 text sim/top1 vision sim; rows=bottom_n:100; agg=mean; selected separately per model/modality	0.058169	0.150593	0.092424	0.090297	0.098367	0.008070
metric=top2 text sim/top1 vision sim; rows=bottom_n:100; agg=mean; selected separately per model/modality	0.058730	0.138275	0.079545	0.090297	0.098367	0.008070
metric=top1 text sim/top1 vision sim; rows=bottom_n:100; agg=mean; selected separately per model/modality	0.083145	0.153408	0.070263	0.090297	0.098367	0.008070
metric=top1 text sim/top1 vision sim; rows=bottom_n:1000; agg=mean; selected separately per model/modality	0.183349	0.365673	0.182324	0.167989	0.173906	0.005917
metric=top2 text sim/top1 vision sim; rows=bottom_n:1000; agg=mean; selected separately per model/modality	0.160941	0.325761	0.164820	0.167989	0.173906	0.005917
metric=top3 text sim/top1 vision sim; rows=bottom_n:1000; agg=mean; selected separately per model/modality	0.157784	0.308162	0.150378	0.167989	0.173906	0.005917
metric=text mean/vision mean; rows=bottom_n:500; agg=mean; selected separately per model/modality	0.187401	0.315462	0.128062	0.176781	0.180207	0.003426
metric=text mean/vision mean; rows=same-items: AnchorRec vision mean top N:50; agg=mean	0.712821	0.906572	0.193751	0.900497	0.903488	0.002991
metric=top1 text sim/top1 vision sim; rows=q0.0-q0.2; agg=mean; selected separately per model/modality	0.205716	0.412791	0.207075	0.191309	0.192815	0.001506
metric=top2 text sim/top1 vision sim; rows=q0.0-q0.2; agg=mean; selected separately per model/modality	0.183160	0.371002	0.187841	0.191309	0.192815	0.001506
metric=top3 text sim/top1 vision sim; rows=q0.0-q0.2; agg=mean; selected separately per model/modality	0.177662	0.349718	0.172056	0.191309	0.192815	0.001506
metric=text mean/vision mean; rows=q0.0-q0.1; agg=mean; selected separately per model/modality	0.202260	0.345212	0.142952	0.191964	0.192481	0.000516
